,Image,F1,Jaccard,Recall,Precision
240,1792.png,0.7179487179487181,0.56,0.9333333333333333,0.5833333333333334
241,1681.png,0.9463350785340314,0.8981366459627329,0.9257362355953905,0.9678714859437751
242,750.png,0.7989533362407326,0.6652142338416849,0.6942023493747632,0.940934771443246
243,1826.png,0.9293059125964009,0.8679471788715486,0.9557171183079973,0.9043151969981238
244,2061.png,0.899604743083004,0.8175287356321839,0.9162640901771336,0.8835403726708074
245,2858.png,0.9290586630286494,0.867515923566879,0.8787096774193548,0.9855282199710564
246,2101.png,0.2920997920997921,0.17102860620815583,0.6904176904176904,0.1852340145023072
247,1006.png,0.8847184986595175,0.7932692307692307,0.8333333333333334,0.9428571428571428
248,2808.png,0.5865237366003063,0.41495124593716143,1.0,0.41495124593716143
249,1803.png,0.9015151515151516,0.8206896551724138,0.8439716312056738,0.967479674796748
250,1491.png,0.7104477611940299,0.5509259259259259,0.5639810426540285,0.9596774193548387
251,3012.png,0.0,0.0,0.0,0.0
252,2566.png,0.8676236044657097,0.7661971830985915,0.8,0.9477351916376306
253,841.png,0.9405617243631613,0.8877928483353884,0.9769335142469471,0.906801007556675
254,2922.png,0.9260976274884101,0.8623666835957339,0.991822429906542,0.8685421994884911
255,2359.png,0.7601001072577761,0.6130334486735871,0.633492252681764,0.9499553172475425
256,1304.png,0.8841786525359576,0.7924016282225237,0.8984615384615384,0.8703427719821163
257,1063.png,0.8491048593350384,0.7377777777777778,0.7377777777777778,1.0
258,769.png,0.876058506543495,0.7794520547945205,0.9192245557350566,0.836764705882353
259,2246.png,0.0933852140077821,0.04897959183673469,0.052980132450331126,0.39344262295081966
260,2362.png,0.48799999999999993,0.32275132275132273,0.32275132275132273,1.0
261,550.png,0.912280701754386,0.8387096774193549,0.91,0.914572864321608
262,2878.png,0.8837336244541484,0.7916870415647922,0.859798194370685,0.9090398652442448
263,1021.png,0.870135548753826,0.7701238390092879,0.7985553772070626,0.9558117195004803
264,197.png,0.4110722239898186,0.25871045254305164,0.25871045254305164,1.0
265,1274.png,0.9448621553884712,0.8954869358669834,0.9617346938775511,0.9285714285714286
266,915.png,0.7855567805953694,0.6468452110758057,0.6668226485727655,0.9557344064386318
267,2360.png,0.48584595128373936,0.3208695652173913,0.4664981036662453,0.5068681318681318
268,1553.png,0.8054054054054053,0.6742081447963801,0.6898148148148148,0.9675324675324676
269,2262.png,0.9572506286672255,0.9180064308681672,0.9661590524534687,0.9485049833887044
270,2096.png,0.7487738419618528,0.5984320557491289,0.6005244755244755,0.9942112879884226
271,2385.png,0.9234987661091307,0.8578706062149771,0.8798328108672936,0.9717253317945759
272,2073.png,0.7623118379483368,0.6159159159159159,0.7119055883373828,0.8204
273,979.png,0.8747663551401871,0.7774086378737541,0.8,0.9649484536082474
274,1658.png,0.8166666666666667,0.6901408450704225,0.7,0.98
275,864.png,0.60004005607851,0.4286123032904149,0.4304597701149425,0.9900859220092532
276,2571.png,0.864528482527525,0.7613827993254637,0.7613827993254637,1.0
277,1269.png,0.9166666666666667,0.8461538461538461,0.8870967741935484,0.9482758620689655
278,985.png,0.5106918238993711,0.34290540540540543,0.5259067357512953,0.4963325183374083
279,847.png,0.584426946631671,0.41285537700865266,0.41285537700865266,1.0
280,1218.png,0.7930283224400871,0.6570397111913358,0.9578947368421052,0.6765799256505576
281,926.png,0.9190672153635117,0.850253807106599,0.9911242603550295,0.8567774936061381
282,2029.png,0.7691247415575465,0.6248600223964166,0.6763636363636364,0.8913738019169329
283,559.png,0.8452950558213715,0.7320441988950276,0.7320441988950276,1.0
284,16.png,0.8557692307692307,0.7478991596638656,1.0,0.7478991596638656
285,1972.png,0.7966211825860949,0.661987041036717,0.6677559912854031,0.9871175523349437
286,2837.png,0.0,0.0,0.0,0.0
287,1050.png,0.9273197357081299,0.8644884841992502,0.8752711496746204,0.9859499083689677
288,2971.png,0.5539526832083093,0.3830806065442937,0.3830806065442937,1.0
289,1988.png,0.0,0.0,0.0,0.0
